time,X,Y,Z
2021-09-15 00:00:00,16645769.676211258,-11950108.599776994,-16974746.799882255
2021-09-15 00:00:30,16709601.250929728,-11944503.227118917,-16914819.781186704
2021-09-15 00:01:00,16773218.908192812,-11939006.363653824,-16854570.640816033
2021-09-15 00:01:30,16836621.243718695,-11933617.13129737,-16794000.501381285
2021-09-15 00:02:00,16899806.859930117,-11928334.644291647,-16733110.491747323
2021-09-15 00:02:30,16962774.366008736,-11923158.009247126,-16671901.747013612
2021-09-15 00:03:00,17025522.377949286,-11918086.325185008,-16610375.408494862
2021-09-15 00:03:30,17088049.518613502,-11913118.683579903,-16548532.623701582
2021-09-15 00:04:00,17150354.417783733,-11908254.168402852,-16486374.546320498
2021-09-15 00:04:30,17212435.712216288,-11903491.8561647,-16423902.336194789
2021-09-15 00:05:00,17274292.045694485,-11898830.815959813,-16361117.15930431
2021-09-15 00:05:30,17335922.06908156,-11894270.109510126,-16298020.187745543
2021-09-15 00:06:00,17397324.4403731,-11889808.79120956,-16234612.599711584
2021-09-15 00:06:30,17458497.82474937,-11885445.90816872,-16170895.57947183
2021-09-15 00:07:00,17519440.894627277,-11881180.50025999,-16106870.317351697
2021-09-15 00:07:30,17580152.329711992,-11877011.600162962,-16042538.009712132
2021-09-15 00:08:00,17640630.817048483,-11872938.233410131,-15977899.858928993
2021-09-15 00:08:30,17700875.05107256,-11868959.41843299,-15912957.073372342
2021-09-15 00:09:00,17760883.733661693,-11865074.166608421,-15847710.867385587
2021-09-15 00:09:30,17820655.574185617,-11861281.482305441,-15782162.461264517
2021-09-15 00:10:00,17880189.289556544,-11857580.362932207,-15716313.081236184
2021-09-15 00:10:30,17939483.60427909,-11853969.798983471,-15650163.959437724
2021-09-15 00:11:00,17998537.250499964,-11850448.774088195,-15583716.333894962
2021-09-15 00:11:30,18057348.968057353,-11847016.26505761,-15516971.448500939
2021-09-15 00:12:00,18115917.50452984,-11843671.241933566,-15449930.552994387
2021-09-15 00:12:30,18174241.615285326,-11840412.668037139,-15382594.902937919
2021-09-15 00:13:00,18232320.063529283,-11837239.500017684,-15314965.75969631
2021-09-15 00:13:30,18290151.620353088,-11834150.687901957,-15247044.390414342
2021-09-15 00:14:00,18347735.064781617,-11831145.17514391,-15178832.067994973
2021-09-15 00:14:30,18405069.183820948,-11828221.898674384,-15110330.071076863
2021-09-15 00:15:00,18462152.77250536,-11825379.788951484,-15041539.6840123
2021-09-15 00:15:30,18518984.633944396,-11822617.770010952,-14972462.196844527
2021-09-15 00:16:00,18575563.57936925,-11819934.759517074,-14903098.905285316
2021-09-15 00:16:30,18631888.42817907,-11817329.66881373,-14833451.110692222
2021-09-15 00:17:00,18687958.00798684,-11814801.402975826,-14763520.120045759
2021-09-15 00:17:30,18743771.15466498,-11812348.860860994,-14693307.245926477
2021-09-15 00:18:00,18799326.712390546,-11809970.93516159,-14622813.806491932
2021-09-15 00:18:30,18854623.53369022,-11807666.51245697,-14552041.125453431
2021-09-15 00:19:00,18909660.479484785,-11805434.473266106,-14480990.53205286
2021-09-15 00:19:30,18964436.419133503,-11803273.692100393,-14409663.361039134
2021-09-15 00:20:00,19018950.23047792,-11801183.03751687,-14338060.952644765
2021-09-15 00:20:30,19073200.79988549,-11799161.372171594,-14266184.65256217
2021-09-15 00:21:00,19127187.022292808,-11797207.552873384,-14194035.811919866
2021-09-15 00:21:30,19180907.801248513,-11795320.430637816,-14121615.787258634
2021-09-15 00:22:00,19234362.0489558,-11793498.850741496,-14048925.940507498
2021-09-15 00:22:30,19287548.686314635,-11791741.652776582,-13975967.63895954
2021-09-15 00:23:00,19340466.642963607,-11790047.670705648,-13902742.255247772
2021-09-15 00:23:30,19393114.857321467,-11788415.732916702,-13829251.167320624
2021-09-15 00:24:00,19445492.276628207,-11786844.662278622,-13755495.758417614
2021-09-15 00:24:30,19497597.856985908,-11785333.27619671,-13681477.417044643
2021-09-15 00:25:00,19549430.56339915,-11783880.386668615,-13607197.536949342
2021-09-15 00:25:30,19600989.369815134,-11782484.800340451,-13532657.51709621
2021-09-15 00:26:00,19652273.259163357,-11781145.318563225,-13457858.761641704
2021-09-15 00:26:30,19703281.223394986,-11779860.737449482,-13382802.67990916
2021-09-15 00:27:00,19754012.26352188,-11778629.847930202,-13307490.686363602
2021-09-15 00:27:30,19804465.389655165,-11777451.435812026,-13231924.20058654
2021-09-15 00:28:00,19854639.621043634,-11776324.281834532,-13156104.647250358
2021-09-15 00:28:30,19904533.986111395,-11775247.161728106,-13080033.456093134
2021-09-15 00:29:00,19954147.522495694,-11774218.84627162,-13003712.061892632
2021-09-15 00:29:30,20003479.27708379,-11773238.101350782,-12927141.90444091
2021-09-15 00:30:00,20052528.306049973,-11772303.68801633,-12850324.428518144
2021-09-15 00:30:30,20101293.67489179,-11771414.362542825,-12773261.083866933
2021-09-15 00:31:00,20149774.45846618,-11770568.876487363,-12695953.325165976
2021-09-15 00:31:30,20197969.741025,-11769765.976748826,-12618402.612004157
2021-09-15 00:32:00,20245878.61625052,-11769004.405626994,-12540610.408853887
2021-09-15 00:32:30,20293500.18728995,-11768282.900882328,-12462578.185045084
2021-09-15 00:33:00,20340833.56679033,-11767600.195795504,-12384307.414738262
2021-09-15 00:33:30,20387877.876932345,-11766955.019227605,-12305799.576898206
2021-09-15 00:34:00,20434632.249464214,-11766346.095680207,-12227056.155267023
2021-09-15 00:34:30,20481095.82573492,-11765772.145355875,-12148078.638337398
2021-09-15 00:35:00,20527267.756727263,-11765231.884218777,-12068868.51932557
2021-09-15 00:35:30,20573147.203090295,-11764724.024055548,-11989427.296144277
2021-09-15 00:36:00,20618733.335171618,-11764247.27253635,-11909756.47137554
2021-09-15 00:36:30,20664025.333049007,-11763800.333276182,-11829857.552243454
2021-09-15 00:37:00,20709022.386561867,-11763381.905896304,-11749732.050586702
2021-09-15 00:37:30,20753723.69534217,-11762990.68608597,-11669381.482831111
2021-09-15 00:38:00,20798128.46884502,-11762625.365664242,-11588807.369961955
2021-09-15 00:38:30,20842235.92637886,-11762284.632642142,-11508011.237496344
2021-09-15 00:39:00,20886045.297135174,-11761967.171284862,-11426994.615455301
2021-09-15 00:39:30,20929555.820217874,-11761671.66217427,-11345759.038335927
2021-09-15 00:40:00,20972766.744672265,-11761396.782271521,-11264306.045083271
2021-09-15 00:40:30,21015677.32951361,-11761141.204979904,-11182637.179062208
2021-09-15 00:41:00,21058286.843755174,-11760903.6002079,-11100753.988029288
2021-09-15 00:41:30,21100594.566436112,-11760682.634432323,-11018658.024104234
2021-09-15 00:42:00,21142599.78664862,-11760476.970761737,-10936350.843741598
2021-09-15 00:42:30,21184301.803564932,-11760285.268999983,-10853834.007702168
2021-09-15 00:43:00,21225699.9264638,-11760106.185709957,-10771109.081024326
2021-09-15 00:43:30,21266793.47475658,-11759938.374277439,-10688177.632995255
2021-09-15 00:44:00,21307581.778012786,-11759780.484975219,-10605041.23712213
2021-09-15 00:44:30,21348064.17598554,-11759631.16502725,-10521701.471103039
2021-09-15 00:45:00,21388240.01863614,-11759489.058673143,-10438159.916798102
2021-09-15 00:45:30,21428108.666158713,-11759352.807232585,-10354418.160200082
2021-09-15 00:46:00,21467669.489003923,-11759221.049170213,-10270477.791405391
2021-09-15 00:46:30,21506921.86790281,-11759092.420160268,-10186340.404584398
2021-09-15 00:47:00,21545865.193889674,-11758965.553151812,-10102007.597952304
2021-09-15 00:47:30,21584498.86832499,-11758839.078433707,-10017480.973739266
2021-09-15 00:48:00,21622822.302917473,-11758711.623700064,-9932762.138161032
2021-09-15 00:48:30,21660834.919746187,-11758581.814115552,-9847852.701388884
2021-09-15 00:49:00,21698536.151281666,-11758448.272381144,-9762754.277520115
2021-09-15 00:49:30,21735925.44040723,-11758309.618799638,-9677468.484547693
2021-09-15 00:50:00,21773002.240439262,-11758164.471341718,-9591996.944330597
2021-09-15 00:50:30,21809766.015147556,-11758011.445711773,-9506341.282563383
2021-09-15 00:51:00,21846216.238774844,-11757849.155414138,-9420503.12874613
2021-09-15 00:51:30,21882352.3960562,-11757676.211819228,-9334484.116153972
2021-09-15 00:52:00,21918173.982237794,-11757491.224229984,-9248285.881806789
2021-09-15 00:52:30,21953680.503095288,-11757292.799948296,-9161910.066438584
2021-09-15 00:53:00,21988871.474951807,-11757079.544341654,-9075358.314466957
2021-09-15 00:53:30,22023746.424695436,-11756850.060909815,-8988632.27396236
2021-09-15 00:54:00,22058304.889796354,-11756602.951351646,-8901733.596617252
2021-09-15 00:54:30,22092546.418323413,-11756336.815632053,-8814663.9377153
2021-09-15 00:55:00,22126470.568960357,-11756050.252049029,-8727424.956100328
2021-09-15 00:55:30,22160076.911021568,-11755741.857300766,-8640018.314145276
2021-09-15 00:56:00,22193365.02446742,-11755410.226552922,-8552445.677721038
2021-09-15 00:56:30,22226334.499919064,-11755053.953505954,-8464708.716165235
2021-09-15 00:57:00,22258984.938672986,-11754671.630462509,-8376809.102250783
2021-09-15 00:57:30,22291315.952714846,-11754261.848394986,-8288748.512154579
2021-09-15 00:58:00,22323327.1647331,-11753823.197013136,-8200528.625425933
2021-09-15 00:58:30,22355018.208132073,-11753354.26483171,-8112151.124954947
2021-09-15 00:59:00,22386388.727044605,-11752853.639238292,-8023617.696940847
2021-09-15 00:59:30,22417438.37634419,-11752319.906561136,-7934930.030860262
2021-09-15 02:00:00,26121326.30217599,2394415.7379817828,3401196.404101087
2021-09-15 02:00:30,26107523.306264967,2403579.8253888073,3495333.8694655057
2021-09-15 02:01:00,26093379.221407596,2412769.945785331,3589403.5591838686
2021-09-15 02:01:30,26078894.341284156,2421987.453768973,3683403.6450574817
2021-09-15 02:02:00,26064068.970630895,2431233.702218999,3777332.3000407265
2021-09-15 02:02:30,26048903.425229613,2440510.0422281832,3871187.6982779773
2021-09-15 02:03:00,26033398.03189652,2449817.823035014,3964968.015140906
2021-09-15 02:03:30,26017553.1284708,2459158.3919556965,4058671.427265383
2021-09-15 02:04:00,26001369.06380257,2468533.094316431,4152296.1125886613
2021-09-15 02:04:30,25984846.197740424,2477943.2733857427,4245840.250386498
2021-09-15 02:05:00,25967984.90111856,2487390.2703067074,4339302.021310015
2021-09-15 02:05:30,25950785.55574332,2496875.42402952,4432679.607422904
2021-09-15 02:06:00,25933248.554379337,2506400.0712439613,4525971.192238352
2021-09-15 02:06:30,25915374.30073519,2515965.546312083,4619174.960756133
2021-09-15 02:07:00,25897163.209448583,2525573.1812008796,4712289.099499536
2021-09-15 02:07:30,25878615.706071083,2535224.305415132,4805311.796552371
2021-09-15 02:08:00,25859732.227052324,2544920.245930299,4898241.241595905
2021-09-15 02:08:30,25840513.219723817,2554662.3271255917,4991075.625945869
2021-09-15 02:09:00,25820959.14228225,2564451.8707170095,5083813.142589254
2021-09-15 02:09:30,25801070.463772323,2574290.1956907036,5176451.986221399
2021-09-15 02:10:00,25780847.66406912,2584178.6182361757,5268990.353282654
2021-09-15 02:10:30,25760291.23386001,2594118.4516798714,5361426.441995424
2021-09-15 02:11:00,25739401.67462611,2604111.006418675,5453758.45240089
2021-09-15 02:11:30,25718179.498623233,2614157.5898536947,5545984.586395915
2021-09-15 02:12:00,25696625.228862423,2624259.506324,5638103.047769729
2021-09-15 02:12:30,25674739.399089985,2634418.0570406336,5730112.042240756
2021-09-15 02:13:00,25652522.553767055,2644634.5400207043,5822009.777493351
2021-09-15 02:13:30,25629975.24804879,2654910.250021578,5913794.463214483
2021-09-15 02:14:00,25607098.04776293,2665246.4784752605,6005464.311130429
2021-09-15 02:14:30,25583891.529388063,2675644.513422886,6097017.535043435
2021-09-15 04:00:00,9075711.980993913,14271967.60806399,20272966.374679413
2021-09-15 04:00:30,8997144.761641758,14275400.649521217,20305752.93943677
2021-09-15 04:01:00,8918460.569236603,14278967.766140588,20338143.71038168
2021-09-15 04:01:30,8839661.151650352,14282669.41880948,20370138.06389598
2021-09-15 04:02:00,8760748.260442657,14286506.058879318,20401735.384246897
2021-09-15 04:02:30,8681723.6507916,14290478.128143076,20432935.063599013
2021-09-15 04:03:00,8602589.081424247,14294586.058813179,20463736.502026062
2021-09-15 04:03:30,8523346.314547103,14298830.273499928,20494139.10752262
2021-09-15 04:04:00,8443997.11577634,14303211.185190285,20524142.296015494
2021-09-15 04:04:30,8364543.254067945,14307729.197227163,20553745.491375055
2021-09-15 04:05:00,8284986.501647703,14312384.703289185,20582948.125426363
2021-09-15 04:05:30,8205328.633941068,14317178.087370839,20611749.63796007
2021-09-15 04:06:00,8125571.429502841,14322109.72376312,20640149.476743184
2021-09-15 04:06:30,8045716.669946815,14327179.977034647,20668147.097529683
2021-09-15 04:07:00,7965766.139875228,14332389.20201317,20695741.964070905
2021-09-15 04:07:30,7885721.626808102,14337737.743767612,20722933.54812576
2021-09-15 04:08:00,7805584.92111247,14343225.937590508,20749721.329470847
2021-09-15 04:08:30,7725357.8159315,14348854.108980935,20776104.795910265
2021-09-15 04:09:00,7645042.107113513,14354622.573627874,20802083.443285353
2021-09-15 04:09:30,7564639.593140809,14360531.637394069,20827656.775484227
2021-09-15 04:10:00,7484152.075058553,14366581.596300295,20852824.304451093
2021-09-15 04:10:30,7403581.356403367,14372772.736510133,20877585.550195448
2021-09-15 04:11:00,7322929.243131963,14379105.33431518,20901940.04080106
2021-09-15 04:11:30,7242197.5435496215,14385579.656120732,20925887.312434807
2021-09-15 04:12:00,7161388.068238578,14392195.958431907,20949426.90935527
2021-09-15 04:12:30,7080502.629986346,14398954.48784028,20972558.383921247
2021-09-15 04:13:00,6999543.043713915,14405855.481010916,20995281.2966
2021-09-15 04:13:30,6918511.126403911,14412899.164669937,21017595.215975378
2021-09-15 04:14:00,6837408.697028633,14420085.75559247,21039499.71875574
2021-09-15 04:14:30,6756237.57647805,14427415.46059116,21060994.3897817
2021-09-15 04:15:00,6674999.58748767,14434888.476505045,21082078.822033696
2021-09-15 04:15:30,6593696.554566451,14442504.990189001,21102752.61663939
2021-09-15 04:16:00,6512330.303924494,14450265.178503554,21123015.382880878
2021-09-15 04:16:30,6430902.663400794,14458169.2083052,21142866.738201704
2021-09-15 04:17:00,6349415.462390871,14466217.236437265,21162306.30821375
2021-09-15 04:17:30,6267870.531774363,14474409.409721075,21181333.726703897
2021-09-15 04:18:00,6186269.703842565,14482745.864947734,21199948.63564051
2021-09-15 04:18:30,6104614.812225933,14491226.72887032,21218150.68517977
2021-09-15 04:19:00,6022907.69182147,14499852.118196517,21235939.533671804
2021-09-15 04:19:30,5941150.178720189,14508622.13958179,21253314.847666666
2021-09-15 04:20:00,5859344.110134405,14517536.889622927,21270276.301920075
2021-09-15 04:20:30,5777491.3243251145,14526596.454852166,21286823.579399064
2021-09-15 04:21:00,5695593.660529228,14535800.9117317,21302956.371287372
2021-09-15 04:21:30,5613652.958886857,14545150.326648694,21318674.3769907
2021-09-15 04:22:00,5531671.060368528,14554644.755910756,21333977.304141745
2021-09-15 04:22:30,5449649.806702376,14564284.245741904,21348864.868605137
2021-09-15 04:23:00,5367591.04030135,14574068.832278958,21363336.79448209
2021-09-15 04:23:30,5285496.604190355,14583998.541568436,21377392.81411495
2021-09-15 04:24:00,5203368.341933427,14594073.389563922,21391032.66809155
2021-09-15 04:24:30,5121208.097560841,14604293.382123876,21404256.105249345
2021-09-15 04:25:00,5039017.715496274,14614658.515009956,21417062.88267943
2021-09-15 04:25:30,4956799.040483924,14625168.773885733,21429452.765730288
2021-09-15 04:26:00,4874553.91751563,14635824.134316003,21441425.52801152
2021-09-15 04:26:30,4792284.191758008,14646624.561766414,21452980.951397173
2021-09-15 04:27:00,4709991.708479579,14657570.011603717,21464118.826029107
2021-09-15 04:27:30,4627678.312977941,14668660.429096352,21474838.950319994
2021-09-15 04:28:00,4545345.850506892,14679895.749415593,21485141.1309563
