time,X,Y,Z
2021-09-15 00:48:30,16645894.539327698,-11950027.643969888,-16974629.26346703
2021-09-15 00:49:00,16709725.508654028,-11944420.862011377,-16914699.83370681
2021-09-15 00:49:30,16773342.534518437,-11938922.594602613,-16854448.294856604
2021-09-15 00:50:00,16836744.212771155,-11933531.96372798,-16793875.76989859
2021-09-15 00:50:30,16899929.145971388,-11928248.083698321,-16732983.38806678
2021-09-15 00:51:00,16962895.943441644,-11923070.061192922,-16671772.28482772
2021-09-15 00:51:30,17025643.22132192,-11917996.99530187,-16610243.601861132
2021-09-15 00:52:00,17088169.602623567,-11913027.977568738,-16548398.487040339
2021-09-15 00:52:30,17150473.71728286,-11908162.092033608,-16486238.09441264
2021-09-15 00:53:00,17212554.20221434,-11903398.415276462,-16423763.584179517
2021-09-15 00:53:30,17274409.70136386,-11898736.016460927,-16360976.12267676
2021-09-15 00:54:00,17336038.865761403,-11894173.957378285,-16297876.882354379
2021-09-15 00:54:30,17397440.35357355,-11889711.292491945,-16234467.041756503
2021-09-15 00:55:00,17458612.83015573,-11885347.068982132,-16170747.785501044
2021-09-15 00:55:30,17519554.968104195,-11881080.32679099,-16106720.304259313
2021-09-15 00:56:00,17580265.447307575,-11876910.09866802,-16042385.794735525
2021-09-15 00:56:30,17640742.954998385,-11872835.410215784,-15977745.459646065
2021-09-15 00:57:00,17700986.185804054,-11868855.279936,-15912800.507698756
2021-09-15 00:57:30,17760993.841797717,-11864968.719275983,-15847552.153571947
2021-09-15 00:58:00,17820764.63254875,-11861174.732675323,-15782001.617893467
2021-09-15 00:58:30,17880297.275172967,-11857472.31761297,-15716150.127219453
2021-09-15 00:59:00,17939590.49438252,-11853860.464654643,-15649998.91401314
2021-09-15 00:59:30,17998643.022535555,-11850338.157500504,-15583549.216623377
2021-09-15 01:00:00,18057453.599685512,-11846904.37303317,-15516802.279263133
2021-09-15 01:00:30,18116020.973630074,-11843558.081366114,-15449759.351987876
2021-09-15 01:01:00,18174343.899960015,-11840298.245892264,-15382421.690673752
2021-09-15 01:01:30,18232421.142107394,-11837123.82333303,-15314790.556995766
2021-09-15 01:02:00,18290251.471393913,-11834033.763787495,-15246867.218405612
2021-09-15 01:02:30,18347833.66707838,-11831027.010782154,-15178652.948109772
2021-09-15 01:03:00,18405166.516404457,-11828102.501320664,-15110149.025046993
2021-09-15 01:03:30,18462248.814647574,-11825259.165934186,-15041356.733866153
2021-09-15 01:04:00,18519079.365161944,-11822495.928731782,-14972277.364903547
2021-09-15 01:04:30,18575656.97942693,-11819811.707451325,-14902912.214160405
2021-09-15 01:05:00,18631980.477093294,-11817205.413510542,-14833262.583280096
2021-09-15 01:05:30,18688048.68602903,-11814675.952058477,-14763329.779525265
2021-09-15 01:06:00,18743860.44236492,-11812222.22202716,-14693115.115754833
2021-09-15 01:06:30,18799414.590539705,-11809843.116183648,-14622619.910400962
2021-09-15 01:07:00,18854709.983345006,-11807537.521182258,-14551845.4874457
